Rank,Name,Pct.,Rank,Num.,Pct.
348,Watts,0.03%,-24,"+3,421",+4.0%
349,Duran,0.03%,+85,"+21,355",+31.4%
350,Walters,0.03%,-88,"-14,905",-14.30%
351,Cohen,0.03%,-31,"+1,865",+2.1%
352,McDaniel,0.03%,-29,"+2,411",+2.8%
353,Moran,0.03%,+9,"+10,069",+12.8%
354,Parks,0.03%,-32,"+2,240",+2.6%
355,Steele,0.03%,-24,"+3,877",+4.6%
356,Vaughn,0.03%,-29,"+3,023",+3.6%
357,Becker,0.03%,-42,-255,-0.30%
358,Holt,0.03%,-29,"+2,821",+3.3%
359,Deleon,0.03%,+101,"+21,816",+33.3%
360,Barker,0.03%,-35,"+1,941",+2.3%
361,Terry,0.03%,-25,"+3,563",+4.3%
362,Hale,0.03%,-24,"+3,663",+4.4%
363,Leon,0.03%,+120,"+24,329",+39.2%
364,Hail,0.03%,+9959,"+83,380","+2,915%"
365,Benson,0.03%,-33,"+1,848",+2.2%
366,Haynes,0.03%,-25,"+3,937",+4.8%
367,Horton,0.03%,-32,"+1,672",+2.0%
368,Miles,0.03%,-26,"+3,009",+3.7%
369,Lyons,0.03%,-30,"+2,258",+2.7%
370,Pham,0.03%,+128,"+24,371",+40.7%
371,Graves,0.03%,-31,"+2,000",+2.4%
372,Bush,0.03%,-26,"+2,494",+3.1%
373,Thornton,0.03%,-26,"+2,776",+3.4%
374,Wolfe,0.03%,-37,+816,+1.0%
375,Warner,0.03%,-31,"+1,957",+2.4%
376,Cabrera,0.03%,+148,"+26,450",+46.3%
377,McKinney,0.03%,-24,"+3,000",+3.7%
378,Mann,0.03%,-29,"+2,488",+3.1%
379,Zimmerman,0.03%,-29,"+2,321",+2.9%
380,Dawson,0.03%,-25,"+2,992",+3.7%
381,Lara,0.03%,+120,"+23,336",+39.1%
382,Fletcher,0.03%,-30,"+2,131",+2.6%
383,Page,0.03%,-29,"+2,499",+3.1%
384,McCarthy,0.03%,-36,"+1,915",+2.4%
385,Love,0.03%,-22,"+4,550",+5.8%
386,Robles,0.03%,+103,"+20,839",+33.8%
387,Cervantes,0.03%,+133,"+24,476",+42.4%
388,Solis,0.03%,+109,"+22,101",+36.8%
389,Erickson,0.03%,-38,"+1,149",+1.4%
390,Reeves,0.03%,-32,"+2,161",+2.7%
391,Chang,0.03%,+33,"+12,183",+17.5%
392,Klein,0.03%,-33,"+1,786",+2.2%
393,Salinas,0.03%,+97,"+19,574",+31.8%
394,Fuentes,0.03%,+136,"+24,565",+43.5%
395,Baldwin,0.03%,-34,"+1,591",+2.0%
396,Daniel,0.03%,-16,"+5,391",+7.2%
397,Simon,0.03%,-14,"+5,621",+7.5%
398,Velasquez,0.03%,+127,"+23,201",+40.6%
399,Hardy,0.03%,-25,"+3,644",+4.8%
400,Higgins,0.03%,-35,"+1,696",+2.2%
401,Aguirre,0.03%,+107,"+20,599",+35.0%
402,Lin,0.03%,+222,"+30,148",+61.1%
403,Cummings,0.03%,-31,"+2,609",+3.4%
404,Chandler,0.03%,-25,"+3,072",+4.0%
405,Sharp,0.03%,-34,"+2,122",+2.8%
406,Barber,0.03%,-30,"+2,344",+3.1%
407,Bowen,0.03%,-37,"+1,744",+2.3%
408,Ochoa,0.03%,+115,"+21,467",+37.5%
409,Dennis,0.03%,-25,"+3,698",+4.9%
410,Robbins,0.03%,-46,+240,+0.3%
411,Liu,0.03%,+239,"+30,705",+64.4%
412,Ramsey,0.03%,-39,"+1,725",+2.3%
413,Francis,0.03%,-7,"+6,604",+9.2%
414,Griffith,0.03%,-45,+831,+1.1%
415,Paul,0.03%,-14,"+6,008",+8.3%
416,Blair,0.03%,-36,"+2,891",+3.8%
417,Oconnor,0.03%,-32,"+3,167",+4.2%
418,Cardenas,0.03%,+111,"+21,034",+37.2%
419,Pacheco,0.03%,+93,"+19,108",+32.6%
420,Cross,0.03%,-38,"+2,423",+3.2%
421,Calderon,0.03%,+129,"+22,394",+40.9%
422,Quinn,0.03%,-36,"+2,455",+3.3%
423,Moss,0.03%,-34,"+3,158",+4.3%
424,Swanson,0.03%,-49,+358,+0.5%
425,Chan,0.03%,+34,"+10,945",+16.7%
426,Rivas,0.03%,+127,"+21,617",+39.6%
427,Khan,0.03%,+238,"+29,458",+63.1%
428,Rodgers,0.03%,-34,"+3,074",+4.2%
429,Serrano,0.03%,+116,"+20,939",+38.0%
430,Fitzgerald,0.03%,-40,"+1,834",+2.5%
431,Rosales,0.03%,+164,"+23,849",+46.5%
432,Stevenson,0.03%,-37,"+2,277",+3.1%
433,Christensen,0.03%,-21,"+3,999",+5.6%
434,Manning,0.03%,-32,"+2,880",+4.0%
435,Gill,0.03%,-5,"+6,249",+9.1%
436,Curry,0.03%,-26,"+3,575",+5.0%
437,McLaughlin,0.03%,-45,"+1,688",+2.3%
438,Harmon,0.03%,-39,"+2,323",+3.2%
439,McGee,0.03%,-35,"+2,617",+3.6%
440,Gross,0.03%,-53,+218,+0.3%
441,Doyle,0.03%,-50,+940,+1.3%
442,Garner,0.03%,-39,"+2,272",+3.2%
443,Newton,0.03%,-43,"+1,764",+2.4%
444,Burgess,0.03%,-37,"+2,327",+3.2%
445,Reese,0.03%,-40,"+2,165",+3.0%
446,Walton,0.03%,-32,"+2,857",+4.0%
447,Blake,0.03%,-22,"+4,518",+6.5%
448,Trujillo,0.03%,+56,"+14,055",+23.6%
449,Adkins,0.03%,-41,"+2,071",+2.9%
450,Brady,0.03%,-39,"+1,970",+2.8%
451,Goodman,0.03%,-42,"+1,654",+2.3%
452,Roman,0.03%,+55,"+13,898",+23.5%
453,Webster,0.03%,-35,"+2,502",+3.6%
454,Goodwin,0.03%,-39,"+2,118",+3.0%
455,Fischer,0.03%,-36,"+2,262",+3.2%
456,Huang,0.03%,+241,"+27,613",+61.8%
457,Potter,0.02%,-44,"+1,072",+1.5%
458,Delacruz,0.02%,+171,"+22,951",+46.7%
459,Montoya,0.02%,+67,"+14,769",+25.9%
460,Todd,0.02%,-37,"+1,949",+2.8%
461,Wu,0.02%,+222,"+25,906",+56.5%
462,Hines,0.02%,-30,"+3,572",+5.2%
463,Mullins,0.02%,-47,"+1,360",+1.9%
464,Castaneda,0.02%,+136,"+20,279",+39.7%
465,Malone,0.02%,-39,"+2,029",+2.9%
466,Cannon,0.02%,-30,"+3,162",+4.7%
467,Tate,0.02%,-27,"+3,850",+5.7%
468,Mack,0.02%,-27,"+3,902",+5.8%
469,Sherman,0.02%,-47,+662,+0.9%
470,Hubbard,0.02%,-35,"+2,341",+3.4%
